2017-12-11,Carolina Hurricanes,Anaheim Ducks
2017-12-12,Ottawa Senators,Buffalo Sabres
2017-12-12,Los Angeles Kings,New Jersey Devils
2017-12-12,Toronto Maple Leafs,Philadelphia Flyers
2017-12-12,Colorado Avalanche,Washington Capitals
2017-12-12,Edmonton Oilers,Columbus Blue Jackets
2017-12-12,Tampa Bay Lightning,St. Louis Blues
2017-12-12,Calgary Flames,Minnesota Wild
2017-12-12,Florida Panthers,Chicago Blackhawks
2017-12-12,Carolina Hurricanes,Vegas Golden Knights
2017-12-13,New York Rangers,Ottawa Senators
2017-12-13,Dallas Stars,New York Islanders
2017-12-13,Boston Bruins,Detroit Red Wings
2017-12-13,Nashville Predators,Vancouver Canucks
2017-12-14,Washington Capitals,Boston Bruins
2017-12-14,Buffalo Sabres,Philadelphia Flyers
2017-12-14,New York Islanders,Columbus Blue Jackets
2017-12-14,New Jersey Devils,Montreal Canadiens
2017-12-14,Anaheim Ducks,St. Louis Blues
2017-12-14,Toronto Maple Leafs,Minnesota Wild
2017-12-14,Chicago Blackhawks,Winnipeg Jets
2017-12-14,Florida Panthers,Colorado Avalanche
2017-12-14,San Jose Sharks,Calgary Flames
2017-12-14,Nashville Predators,Edmonton Oilers
2017-12-14,Tampa Bay Lightning,Arizona Coyotes
2017-12-14,Pittsburgh Penguins,Vegas Golden Knights
2017-12-15,Carolina Hurricanes,Buffalo Sabres
2017-12-15,Dallas Stars,New Jersey Devils
2017-12-15,Los Angeles Kings,New York Rangers
2017-12-15,Toronto Maple Leafs,Detroit Red Wings
2017-12-15,San Jose Sharks,Vancouver Canucks
2017-12-16,Edmonton Oilers,Minnesota Wild
2017-12-16,New York Rangers,Boston Bruins
2017-12-16,Winnipeg Jets,St. Louis Blues
2017-12-16,Montreal Canadiens,Ottawa Senators
2017-12-16,Los Angeles Kings,New York Islanders
2017-12-16,Dallas Stars,Philadelphia Flyers
2017-12-16,Anaheim Ducks,Washington Capitals
2017-12-16,Pittsburgh Penguins,Arizona Coyotes
2017-12-16,Columbus Blue Jackets,Carolina Hurricanes
2017-12-16,Tampa Bay Lightning,Colorado Avalanche
2017-12-16,Nashville Predators,Calgary Flames
2017-12-17,St. Louis Blues,Winnipeg Jets
2017-12-17,Minnesota Wild,Chicago Blackhawks
2017-12-17,Calgary Flames,Vancouver Canucks
2017-12-17,Florida Panthers,Vegas Golden Knights
2017-12-18,Columbus Blue Jackets,Boston Bruins
2017-12-18,Anaheim Ducks,New Jersey Devils
2017-12-18,Los Angeles Kings,Philadelphia Flyers
